(base) kacper@macbook-pro-kacper-3 NYPD_project_final % python main.py /Users/kacper/Desktop/NYPD_project_final/data /Users/kacper/Desktop/NYPD_project_final/results
Analysis complete. Results have been saved in: /Users/kacper/Desktop/NYPD_project_final/results
         3961048 function calls (3956168 primitive calls) in 2.906 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 book.py:850(handle_datemode)
        1    0.000    0.000    0.000    0.000 book.py:871(handle_externsheet)
        2    0.000    0.000    0.000    0.000 book.py:945(handle_name)
       10    0.000    0.000    0.000    0.000 borders.py:105(__iter__)
        1    0.000    0.000    0.002    0.002 borders.py:3(<module>)
        1    0.000    0.000    0.000    0.000 borders.py:33(Side)
      315    0.000    0.000    0.002    0.000 borders.py:49(__init__)
        1    0.000    0.000    0.000    0.000 borders.py:56(Border)
       64    0.000    0.000    0.002    0.000 borders.py:87(__init__)
        4    0.000    0.000    0.000    0.000 bound_dictionary.py:17(__init__)
        1    0.000    0.000    0.000    0.000 bound_dictionary.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bound_dictionary.py:6(BoundDictionary)
        1    0.000    0.000    0.000    0.000 bubble_chart.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bubble_chart.py:25(BubbleChart)
        1    0.003    0.003    0.031    0.031 builtins.py:5(<module>)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:187(close)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:194(_set_noconvert_columns)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:205(<dictcomp>)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:206(<listcomp>)
        1    0.000    0.000    0.004    0.004 c_parser_wrapper.py:215(read)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:304(<listcomp>)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:308(<dictcomp>)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:344(_concatenate_chunks)
        7    0.000    0.000    0.000    0.000 c_parser_wrapper.py:356(<listcomp>)
        7    0.000    0.000    0.000    0.000 c_parser_wrapper.py:358(<setcomp>)
        7    0.000    0.000    0.000    0.000 c_parser_wrapper.py:360(<setcomp>)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:408(ensure_dtype_objs)
        1    0.002    0.002    0.003    0.003 c_parser_wrapper.py:45(__init__)
        1    0.000    0.000    0.000    0.000 cache.py:100(CalculatedMember)
        1    0.000    0.000    0.000    0.000 cache.py:135(CalculatedItem)
        1    0.000    0.000    0.000    0.000 cache.py:158(ServerFormat)
        1    0.000    0.000    0.000    0.000 cache.py:173(ServerFormatList)
        1    0.000    0.000    0.000    0.000 cache.py:194(Query)
        1    0.000    0.000    0.000    0.000 cache.py:211(QueryCache)
        1    0.000    0.000    0.000    0.000 cache.py:228(OLAPSet)
        1    0.000    0.000    0.000    0.000 cache.py:261(OLAPSets)
        1    0.000    0.000    0.000    0.000 cache.py:276(PCDSDTCEntries)
        1    0.000    0.000    0.003    0.003 cache.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cache.py:303(TupleCache)
        1    0.000    0.000    0.000    0.000 cache.py:329(PCDKPI)
        1    0.000    0.000    0.000    0.000 cache.py:371(GroupMember)
        1    0.000    0.000    0.000    0.000 cache.py:386(GroupMembers)
        1    0.000    0.000    0.000    0.000 cache.py:401(LevelGroup)
        1    0.000    0.000    0.000    0.000 cache.py:430(Groups)
        1    0.000    0.000    0.000    0.000 cache.py:447(GroupLevel)
        1    0.000    0.000    0.000    0.000 cache.py:476(GroupLevels)
        1    0.000    0.000    0.000    0.000 cache.py:49(MeasureDimensionMap)
        1    0.000    0.000    0.000    0.000 cache.py:491(FieldUsage)
        1    0.000    0.000    0.000    0.000 cache.py:503(FieldsUsage)
        1    0.000    0.000    0.000    0.000 cache.py:518(CacheHierarchy)
        1    0.000    0.000    0.000    0.000 cache.py:604(GroupItems)
        1    0.000    0.000    0.000    0.000 cache.py:64(MeasureGroup)
        1    0.000    0.000    0.000    0.000 cache.py:640(DiscretePr)
        1    0.000    0.000    0.000    0.000 cache.py:657(RangePr)
        1    0.000    0.000    0.000    0.000 cache.py:691(FieldGroup)
        1    0.000    0.000    0.000    0.000 cache.py:717(SharedItems)
        1    0.000    0.000    0.000    0.000 cache.py:786(CacheField)
        1    0.000    0.000    0.000    0.000 cache.py:79(PivotDimension)
        1    0.000    0.000    0.000    0.000 cache.py:848(RangeSet)
        1    0.000    0.000    0.000    0.000 cache.py:878(PageItem)
        1    0.000    0.000    0.000    0.000 cache.py:890(Page)
        1    0.000    0.000    0.000    0.000 cache.py:911(Consolidation)
        1    0.000    0.000    0.000    0.000 cache.py:931(WorksheetSource)
        1    0.000    0.000    0.000    0.000 cache.py:949(CacheSource)
        1    0.000    0.000    0.000    0.000 cache.py:975(CacheDefinition)
        9    0.000    0.000    0.002    0.000 cast.py:1075(astype_nansafe)
        2    0.000    0.000    0.000    0.000 cast.py:115(maybe_convert_platform)
       13    0.000    0.000    0.003    0.000 cast.py:1199(astype_array)
       13    0.000    0.000    0.003    0.000 cast.py:1246(astype_array_safe)
       34    0.000    0.000    0.000    0.000 cast.py:1466(maybe_infer_to_datetimelike)
       24    0.000    0.000    0.000    0.000 cast.py:1711(sanitize_to_nanoseconds)
       18    0.000    0.000    0.000    0.000 cast.py:1962(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.000    0.000 cast.py:2149(can_hold_element)
        1    0.000    0.000    0.000    0.000 cast.py:2187(np_can_hold_element)
        1    0.000    0.000    0.000    0.000 cast.py:454(ensure_dtype_can_hold_na)
       39    0.000    0.000    0.000    0.000 cast.py:468(maybe_promote)
        3    0.000    0.000    0.000    0.000 cast.py:507(_maybe_promote_cached)
        3    0.000    0.000    0.000    0.000 cast.py:515(_maybe_promote)
        1    0.000    0.000    0.000    0.000 cast.py:649(_ensure_dtype_type)
        1    0.000    0.000    0.000    0.000 cell.py:297(MergedCell)
        1    0.000    0.000    0.074    0.074 cell.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cell.py:89(Cell)
        1    0.000    0.000    0.000    0.000 cell_range.py:17(CellRange)
        1    0.000    0.000    0.000    0.000 cell_range.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cell_range.py:420(MultiCellRange)
        2    0.000    0.000    0.000    0.000 cell_range.py:426(__init__)
       23    0.000    0.000    0.000    0.000 cell_style.py:126(to_array)
        1    0.000    0.000    0.000    0.000 cell_style.py:159(CellStyleList)
        4    0.000    0.000    0.000    0.000 cell_style.py:172(__init__)
        2    0.000    0.000    0.000    0.000 cell_style.py:184(__getitem__)
        2    0.000    0.000    0.001    0.001 cell_style.py:188(_to_array)
        1    0.000    0.000    0.000    0.000 cell_style.py:21(ArrayDescriptor)
        9    0.000    0.000    0.000    0.000 cell_style.py:23(__init__)
       48    0.000    0.000    0.000    0.000 cell_style.py:26(__get__)
      150    0.000    0.000    0.000    0.000 cell_style.py:29(__set__)
        1    0.000    0.000    0.000    0.000 cell_style.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cell_style.py:33(StyleArray)
       80    0.000    0.000    0.000    0.000 cell_style.py:52(__new__)
       25    0.000    0.000    0.000    0.000 cell_style.py:56(__hash__)
        1    0.000    0.000    0.000    0.000 cell_style.py:68(CellStyle)
       25    0.000    0.000    0.001    0.000 cell_style.py:93(__init__)
        1    0.000    0.000    0.006    0.006 chartsheet.py:3(<module>)
        1    0.000    0.000    0.000    0.000 chartsheet.py:30(Chartsheet)
        1    0.000    0.000    0.000    0.000 chartspace.py:121(ExternalData)
        1    0.000    0.000    0.000    0.000 chartspace.py:136(ChartSpace)
        1    0.000    0.000    0.003    0.003 chartspace.py:4(<module>)
        1    0.000    0.000    0.000    0.000 chartspace.py:42(ChartContainer)
        1    0.000    0.000    0.000    0.000 chartspace.py:95(Protection)
        2    0.000    0.000    0.000    0.000 child.py:15(avoid_duplicate_name)
        2    0.000    0.000    0.000    0.000 child.py:22(<listcomp>)
        1    0.000    0.000    0.002    0.002 child.py:3(<module>)
        1    0.000    0.000    0.000    0.000 child.py:37(_WorkbookChild)
        2    0.000    0.000    0.000    0.000 child.py:45(__init__)
        2    0.000    0.000    0.000    0.000 child.py:55(parent)
        4    0.000    0.000    0.000    0.000 child.py:65(title)
        2    0.000    0.000    0.000    0.000 child.py:70(title)
        1    0.000    0.000    0.000    0.000 codecs.py:1015(getwriter)
        1    0.000    0.000    0.000    0.000 codecs.py:1063(make_identity_dict)
        1    0.000    0.000    0.000    0.000 codecs.py:1071(<dictcomp>)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       12    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       12    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
        3    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
       52    0.000    0.000    0.000    0.000 colors.py:105(__iter__)
        1    0.000    0.000    0.000    0.000 colors.py:127(ColorDescriptor)
      500    0.001    0.000    0.001    0.000 colors.py:131(__set__)
        1    0.000    0.000    0.000    0.000 colors.py:137(RgbColor)
       24    0.000    0.000    0.000    0.000 colors.py:143(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:149(ColorList)
        2    0.000    0.000    0.000    0.000 colors.py:158(__init__)
        2    0.000    0.000    0.000    0.000 colors.py:170(index)
        2    0.000    0.000    0.000    0.000 colors.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:192(HSLColor)
        1    0.000    0.000    0.000    0.000 colors.py:213(RGBPercent)
        1    0.000    0.000    0.000    0.000 colors.py:233(SchemeColor)
        2    0.000    0.000    0.002    0.001 colors.py:3(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:337(ColorChoice)
        1    0.000    0.000    0.000    0.000 colors.py:372(ColorMapping)
        1    0.000    0.000    0.000    0.000 colors.py:420(ColorChoiceDescriptor)
        1    0.000    0.000    0.000    0.000 colors.py:49(RGB)
       68    0.000    0.000    0.000    0.000 colors.py:57(__set__)
        1    0.000    0.000    0.000    0.000 colors.py:67(Color)
        1    0.000    0.000    0.000    0.000 colors.py:71(Transform)
        1    0.000    0.000    0.000    0.000 colors.py:76(SystemColor)
      181    0.000    0.000    0.003    0.000 colors.py:80(__init__)
       26    0.000    0.000    0.000    0.000 colors.py:97(value)
        1    0.000    0.000    0.000    0.000 comment_sheet.py:145(CommentSheet)
        1    0.000    0.000    0.000    0.000 comment_sheet.py:27(Properties)
        1    0.000    0.000    0.002    0.002 comment_sheet.py:4(<module>)
        1    0.000    0.000    0.001    0.001 comment_sheet.py:84(CommentRecord)
        1    0.000    0.000    0.000    0.000 comments.py:4(<module>)
        1    0.000    0.000    0.000    0.000 comments.py:4(Comment)
        6    0.000    0.000    0.001    0.000 common.py:102(iterparse)
       11    0.000    0.000    0.000    0.000 common.py:103(close)
        8    0.000    0.000    0.000    0.000 common.py:105(is_bool_indexer)
        8    0.000    0.000    0.000    0.000 common.py:1055(_maybe_memory_map)
        1    0.000    0.000    0.000    0.000 common.py:1091(is_datetimelike_v_numeric)
       10    0.000    0.000    0.000    0.000 common.py:1109(_is_binary_mode)
        1    0.000    0.000    0.000    0.000 common.py:1130(_get_binary_io_classes)
       98    0.000    0.000    0.000    0.000 common.py:1148(needs_i8_conversion)
        8    0.000    0.000    0.000    0.000 common.py:115(ensure_python_int)
        1    0.000    0.000    0.000    0.000 common.py:1198(is_numeric_dtype)
        4    0.000    0.000    0.000    0.000 common.py:120(__enter__)
        4    0.000    0.000    0.000    0.000 common.py:123(__exit__)
      129    0.000    0.000    0.001    0.000 common.py:1240(is_float_dtype)
        8    0.000    0.000    0.000    0.000 common.py:127(is_url)
       55    0.000    0.000    0.000    0.000 common.py:1274(is_bool_dtype)
      122    0.000    0.000    0.000    0.000 common.py:1416(is_1d_only_ea_dtype)
      128    0.000    0.000    0.000    0.000 common.py:1429(is_extension_array_dtype)
      287    0.000    0.000    0.000    0.000 common.py:145(classes)
      287    0.000    0.000    0.000    0.000 common.py:147(<lambda>)
       94    0.000    0.000    0.000    0.000 common.py:1483(is_ea_or_datetimelike_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1496(is_complex_dtype)
      153    0.000    0.000    0.000    0.000 common.py:150(classes_and_not_datetimelike)
       39    0.000    0.000    0.000    0.000 common.py:1528(_is_dtype)
      153    0.000    0.000    0.000    0.000 common.py:155(<lambda>)
       21    0.000    0.000    0.000    0.000 common.py:155(_expand_user)
      233    0.000    0.000    0.000    0.000 common.py:1552(get_dtype)
      440    0.000    0.000    0.001    0.000 common.py:1587(_is_dtype_type)
      127    0.000    0.000    0.000    0.000 common.py:160(cast_scalar_indexer)
      157    0.000    0.000    0.001    0.000 common.py:161(is_object_dtype)
      120    0.000    0.000    0.000    0.000 common.py:1721(validate_all_hashable)
        7    0.000    0.000    0.000    0.000 common.py:174(validate_header_arg)
      240    0.000    0.000    0.000    0.000 common.py:1740(<genexpr>)
       63    0.000    0.000    0.000    0.000 common.py:1747(pandas_dtype)
        1    0.000    0.000    0.000    0.000 common.py:18(DefusedXmlException)
       13    0.000    0.000    0.000    0.000 common.py:195(stringify_path)
        4    0.000    0.000    0.000    0.000 common.py:201(all_none)
        8    0.000    0.000    0.000    0.000 common.py:205(<genexpr>)
        8    0.000    0.000    0.000    0.000 common.py:208(any_not_none)
       16    0.000    0.000    0.000    0.000 common.py:212(<genexpr>)
       47    0.000    0.000    0.001    0.000 common.py:229(asarray_tuplesafe)
        8    0.000    0.000    0.000    0.000 common.py:239(is_fsspec_url)
        1    0.000    0.000    0.000    0.000 common.py:25(DTDForbidden)
        8    0.000    0.000    0.001    0.000 common.py:251(_get_filepath_or_buffer)
        4    0.000    0.000    0.000    0.000 common.py:254(index_labels_to_array)
       13    0.000    0.000    0.000    0.000 common.py:281(maybe_make_list)
        6    0.000    0.000    0.000    0.000 common.py:287(maybe_iterable_to_list)
        2    0.000    0.000    0.000    0.000 common.py:297(is_null_slice)
        1    0.000    0.000    0.000    0.000 common.py:315(is_datetime64_dtype)
       66    0.000    0.000    0.000    0.000 common.py:346(apply_if_callable)
       33    0.000    0.000    0.000    0.000 common.py:348(is_datetime64tz_dtype)
        1    0.000    0.000    0.000    0.000 common.py:389(is_timedelta64_dtype)
        1    0.000    0.000    0.000    0.000 common.py:39(EntitiesForbidden)
       12    0.000    0.000    0.000    0.000 common.py:459(is_interval_dtype)
        8    0.000    0.000    0.000    0.000 common.py:462(get_compression_method)
        8    0.000    0.000    0.000    0.000 common.py:497(infer_compression)
       95    0.000    0.000    0.001    0.000 common.py:497(is_categorical_dtype)
       57    0.000    0.000    0.000    0.000 common.py:533(is_string_or_object_np_dtype)
       39    0.000    0.000    0.000    0.000 common.py:540(is_string_dtype)
       76    0.000    0.000    0.000    0.000 common.py:552(require_length_match)
        1    0.000    0.000    0.000    0.000 common.py:556(check_parent_directory)
        1    0.000    0.000    0.000    0.000 common.py:56(ExternalReferenceForbidden)
       88    0.000    0.000    0.001    0.000 common.py:581(is_dtype_equal)
        1    0.000    0.000    0.006    0.006 common.py:6(<module>)
        8    0.000    0.000    0.003    0.000 common.py:601(get_handle)
       90    0.000    0.000    0.000    0.000 common.py:680(is_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:71(NotSupportedError)
       31    0.000    0.000    0.000    0.000 common.py:732(is_signed_integer_dtype)
        8    0.000    0.000    0.000    0.000 common.py:75(get_op_result_name)
       31    0.000    0.000    0.000    0.000 common.py:786(is_unsigned_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:88(_generate_etree_functions)
        8    0.000    0.000    0.000    0.000 common.py:97(_maybe_match_name)
        1    0.000    0.000    0.000    0.000 compdoc.py:285(_get_stream)
        1    0.000    0.000    0.000    0.000 compdoc.py:29(CompDocError)
        1    0.000    0.000    0.000    0.000 compdoc.py:32(DirNode)
        1    0.000    0.000    0.000    0.000 compdoc.py:334(_dir_search)
        4    0.000    0.000    0.003    0.001 compdoc.py:34(__init__)
        1    0.000    0.000    0.001    0.001 compdoc.py:374(locate_named_stream)
        1    0.001    0.001    0.001    0.001 compdoc.py:414(_locate_stream)
      7/1    0.000    0.000    0.000    0.000 compdoc.py:64(_build_family_tree)
        1    0.000    0.000    0.000    0.000 compdoc.py:7(<module>)
        1    0.000    0.000    0.000    0.000 compdoc.py:74(CompDoc)
        1    0.000    0.000    0.003    0.003 compdoc.py:84(__init__)
        4    0.000    0.000    0.000    0.000 concat.py:106(<listcomp>)
        4    0.000    0.000    0.000    0.000 concat.py:111(<setcomp>)
       12    0.000    0.000    0.000    0.000 concat.py:112(<genexpr>)
        4    0.000    0.000    0.000    0.000 concat.py:117(<setcomp>)
       12    0.000    0.000    0.000    0.000 concat.py:118(<genexpr>)
        4    0.000    0.000    0.006    0.002 concat.py:185(concatenate_managers)
        4    0.000    0.000    0.002    0.000 concat.py:208(<listcomp>)
        4    0.000    0.000    0.000    0.000 concat.py:255(_maybe_reindex_columns_na_proxy)
        8    0.000    0.000    0.002    0.000 concat.py:287(_get_mgr_concatenation_plan)
       21    0.000    0.000    0.000    0.000 concat.py:363(__init__)
       13    0.000    0.000    0.000    0.000 concat.py:394(_is_valid_na_for)
       21    0.000    0.000    0.000    0.000 concat.py:424(is_na)
       21    0.000    0.000    0.002    0.000 concat.py:453(get_reindexed_values)
       21    0.000    0.000    0.003    0.000 concat.py:535(_concatenate_join_units)
       42    0.000    0.000    0.000    0.000 concat.py:547(<genexpr>)
       21    0.000    0.000    0.002    0.000 concat.py:550(<listcomp>)
       21    0.000    0.000    0.000    0.000 concat.py:588(_dtype_to_na_value)
       21    0.000    0.000    0.000    0.000 concat.py:611(_get_empty_dtype)
       21    0.000    0.000    0.001    0.000 concat.py:641(_is_uniform_join_units)
       42    0.000    0.000    0.000    0.000 concat.py:653(<genexpr>)
       42    0.000    0.000    0.000    0.000 concat.py:656(<genexpr>)
       42    0.000    0.000    0.000    0.000 concat.py:666(<genexpr>)
       42    0.000    0.000    0.000    0.000 concat.py:669(<genexpr>)
       25    0.000    0.000    0.000    0.000 concat.py:711(_combine_concat_plans)
        4    0.000    0.000    0.000    0.000 concat.py:74(concat_compat)
        8    0.000    0.000    0.000    0.000 concat.py:95(is_nonempty)
       39    0.000    0.000    0.000    0.000 config.py:109(_get_single_key)
       39    0.000    0.000    0.001    0.000 config.py:127(_get_option)
       39    0.000    0.000    0.001    0.000 config.py:255(__call__)
       39    0.000    0.000    0.000    0.000 config.py:571(_select_options)
       39    0.000    0.000    0.000    0.000 config.py:589(_get_root)
       75    0.000    0.000    0.000    0.000 config.py:603(_get_deprecated_option)
       39    0.000    0.000    0.000    0.000 config.py:630(_translate_key)
       36    0.000    0.000    0.000    0.000 config.py:642(_warn_if_deprecated)
        1    0.000    0.000    0.000    0.000 connector.py:102(ShapeMeta)
        1    0.000    0.000    0.000    0.000 connector.py:114(Shape)
        1    0.000    0.000    0.000    0.000 connector.py:21(Connection)
        1    0.000    0.000    0.002    0.002 connector.py:3(<module>)
        1    0.000    0.000    0.000    0.000 connector.py:34(ConnectorLocking)
        1    0.000    0.000    0.000    0.000 connector.py:44(NonVisualConnectorProperties)
        1    0.000    0.000    0.000    0.000 connector.py:63(ConnectorNonVisual)
        1    0.000    0.000    0.000    0.000 connector.py:78(ConnectorShape)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        5    0.000    0.000    0.007    0.001 construction.py:102(arrays_to_mgr)
        5    0.000    0.000    0.000    0.000 construction.py:233(mgr_to_mgr)
      128    0.000    0.000    0.001    0.000 construction.py:379(extract_array)
        5    0.000    0.000    0.016    0.003 construction.py:425(dict_to_mgr)
      160    0.000    0.000    0.000    0.000 construction.py:438(ensure_wrapped_if_datetimelike)
       93    0.001    0.000    0.003    0.000 construction.py:470(sanitize_array)
        1    0.000    0.000    0.000    0.000 construction.py:483(<listcomp>)
        1    0.000    0.000    0.000    0.000 construction.py:486(<listcomp>)
        1    0.000    0.000    0.000    0.000 construction.py:487(<listcomp>)
        5    0.000    0.000    0.000    0.000 construction.py:494(<listcomp>)
        5    0.000    0.000    0.001    0.000 construction.py:596(_homogenize)
       93    0.000    0.000    0.000    0.000 construction.py:630(_sanitize_ndim)
        1    0.000    0.000    0.000    0.000 construction.py:635(_extract_index)
       93    0.000    0.000    0.000    0.000 construction.py:667(_sanitize_str_dtypes)
       93    0.000    0.000    0.000    0.000 construction.py:687(_maybe_repeat)
       91    0.000    0.000    0.001    0.000 construction.py:698(_try_cast)
       35    0.000    0.000    0.000    0.000 construction.py:805(is_empty_data)
        4    0.000    0.000    0.002    0.001 construction.py:825(create_series_with_explicit_dtype)
        3    0.000    0.000    0.000    0.000 contextlib.py:234(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:376(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:379(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:382(__exit__)
        1    0.000    0.000    0.000    0.000 copier.py:4(<module>)
        1    0.000    0.000    0.000    0.000 copier.py:9(WorksheetCopy)
        6    0.000    0.000    0.000    0.000 copy.py:107(_copy_immutable)
    14/12    0.000    0.000    0.002    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 core.py:22(NestedDateTime)
        1    0.000    0.000    0.000    0.000 core.py:3(<module>)
        1    0.000    0.000    0.000    0.000 core.py:36(QualifiedDateTime)
        1    0.000    0.000    0.000    0.000 core.py:47(DocumentProperties)
        4    0.000    0.000    0.000    0.000 core.py:81(__init__)
        1    0.000    0.000    0.000    0.000 cp437.py:1(<module>)
       58    0.000    0.000    0.000    0.000 cp437.py:14(decode)
        1    0.000    0.000    0.000    0.000 cp437.py:17(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 cp437.py:21(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 cp437.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 cp437.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 cp437.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 cp437.py:9(Codec)
        1    0.000    0.000    0.000    0.000 csvs.py:1(<module>)
        3    0.000    0.000    0.000    0.000 csvs.py:100(decimal)
        3    0.000    0.000    0.000    0.000 csvs.py:104(header)
        2    0.000    0.000    0.000    0.000 csvs.py:108(index)
        1    0.000    0.000    0.000    0.000 csvs.py:112(_initialize_index_label)
        1    0.000    0.000    0.000    0.000 csvs.py:121(_get_index_label_from_obj)
        1    0.000    0.000    0.000    0.000 csvs.py:130(_get_index_label_flat)
        1    0.000    0.000    0.000    0.000 csvs.py:134(_initialize_quotechar)
        3    0.000    0.000    0.000    0.000 csvs.py:140(has_mi_columns)
        1    0.000    0.000    0.000    0.000 csvs.py:144(_initialize_columns)
        1    0.000    0.000    0.000    0.000 csvs.py:163(_initialize_chunksize)
        3    0.000    0.000    0.000    0.000 csvs.py:168(_number_format)
        1    0.000    0.000    0.000    0.000 csvs.py:179(data_index)
        1    0.000    0.000    0.000    0.000 csvs.py:193(nlevels)
        2    0.000    0.000    0.000    0.000 csvs.py:200(_has_aliases)
        1    0.000    0.000    0.000    0.000 csvs.py:204(_need_to_save_header)
        1    0.000    0.000    0.000    0.000 csvs.py:208(write_cols)
        1    0.000    0.000    0.000    0.000 csvs.py:223(encoded_labels)
        1    0.000    0.000    0.002    0.002 csvs.py:236(save)
        1    0.000    0.000    0.001    0.001 csvs.py:263(_save)
        1    0.000    0.000    0.000    0.000 csvs.py:268(_save_header)
        1    0.000    0.000    0.001    0.001 csvs.py:296(_save_body)
        1    0.000    0.000    0.001    0.001 csvs.py:306(_save_chunk)
        1    0.000    0.000    0.000    0.000 csvs.py:312(<listcomp>)
        1    0.000    0.000    0.000    0.000 csvs.py:47(CSVFormatter)
        1    0.000    0.000    0.000    0.000 csvs.py:50(__init__)
        3    0.000    0.000    0.000    0.000 csvs.py:92(na_rep)
        3    0.000    0.000    0.000    0.000 csvs.py:96(float_format)
        1    0.000    0.000    0.000    0.000 custom.py:20(CustomChartsheetView)
        1    0.000    0.000    0.000    0.000 custom.py:3(<module>)
        1    0.000    0.000    0.000    0.000 custom.py:51(CustomChartsheetViews)
        1    0.000    0.000    0.012    0.012 data_processing.py:10(load_csv_file)
        2    0.000    0.000    0.009    0.004 data_processing.py:106(drop_last_char)
        1    0.000    0.000    0.004    0.004 data_processing.py:118(count_unique)
      416    0.000    0.000    0.000    0.000 data_processing.py:127(<lambda>)
        4    0.000    0.000    0.020    0.005 data_processing.py:132(custom_merge)
        3    0.000    0.000    0.007    0.002 data_processing.py:15(lower_the_case)
        3    0.000    0.000    0.007    0.002 data_processing.py:27(drop_columns)
        3    0.000    0.000    2.754    0.918 data_processing.py:3(load_excel_file)
        2    0.000    0.000    0.009    0.005 data_processing.py:45(drop_rows_by_suffix)
        2    0.000    0.000    0.013    0.006 data_processing.py:55(drop_rows_by_prefix)
        3    0.000    0.000    0.034    0.011 data_processing.py:65(delete_prefix)
    15873    0.008    0.000    0.012    0.000 data_processing.py:78(<genexpr>)
    12167    0.009    0.000    0.024    0.000 data_processing.py:78(<lambda>)
        3    0.000    0.000    0.015    0.005 data_processing.py:82(delete_spaces)
        1    0.000    0.000    0.002    0.002 data_processing.py:94(cut_after_comma)
        1    0.000    0.000    0.001    0.001 data_source.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data_source.py:104(StrVal)
        1    0.000    0.000    0.000    0.000 data_source.py:119(StrData)
        1    0.000    0.000    0.000    0.000 data_source.py:138(StrRef)
        1    0.000    0.000    0.000    0.000 data_source.py:157(NumDataSource)
        1    0.000    0.000    0.000    0.000 data_source.py:171(Level)
        1    0.000    0.000    0.000    0.000 data_source.py:185(MultiLevelStrData)
        1    0.000    0.000    0.000    0.000 data_source.py:204(MultiLevelStrRef)
        1    0.000    0.000    0.000    0.000 data_source.py:22(NumFmt)
        1    0.000    0.000    0.000    0.000 data_source.py:223(AxDataSource)
        1    0.000    0.000    0.000    0.000 data_source.py:35(NumberValueDescriptor)
        1    0.000    0.000    0.000    0.000 data_source.py:50(NumVal)
        1    0.000    0.000    0.000    0.000 data_source.py:66(NumData)
        1    0.000    0.000    0.000    0.000 data_source.py:86(NumRef)
        1    0.000    0.000    0.000    0.000 datavalidation.py:157(DataValidationList)
        2    0.000    0.000    0.000    0.000 datavalidation.py:169(__init__)
        1    0.000    0.000    0.000    0.000 datavalidation.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datavalidation.py:74(DataValidation)
        1    0.000    0.000    0.001    0.001 datetime.py:3(<module>)
        1    0.000    0.000    0.000    0.000 defined_name.py:167(DefinedNameList)
        2    0.000    0.000    0.000    0.000 defined_name.py:174(__init__)
        1    0.000    0.000    0.006    0.006 defined_name.py:3(<module>)
        1    0.000    0.000    0.000    0.000 defined_name.py:65(DefinedName)
        1    0.000    0.000    0.000    0.000 descriptors.py:18(NestedGapAmount)
        1    0.000    0.000    0.000    0.000 descriptors.py:25(NestedOverlap)
        1    0.000    0.000    0.000    0.000 descriptors.py:32(NumberFormatDescriptor)
        1    0.000    0.000    0.000    0.000 descriptors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 differential.py:19(DifferentialStyle)
        1    0.000    0.000    0.000    0.000 differential.py:3(<module>)
        1    0.000    0.000    0.000    0.000 differential.py:50(DifferentialStyleList)
        2    0.000    0.000    0.000    0.000 differential.py:62(__init__)
        1    0.000    0.000    0.000    0.000 dimensions.py:121(ColumnDimension)
        1    0.000    0.000    0.000    0.000 dimensions.py:185(DimensionHolder)
        4    0.000    0.000    0.000    0.000 dimensions.py:190(__init__)
