(base) kacper@macbook-pro-kacper-3 NYPD_project_final % python main.py /Users/kacper/Desktop/NYPD_project_final/data /Users/kacper/Desktop/NYPD_project_final/results
Analysis complete. Results have been saved in: /Users/kacper/Desktop/NYPD_project_final/results
         3961048 function calls (3956168 primitive calls) in 2.906 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      223    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      223    0.000    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      326    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
      214    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      279    0.004    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      298    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       28    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      412    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      214    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      206    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      206    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      618    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    206/5    0.001    0.000    0.501    0.100 <frozen importlib._bootstrap_external>:844(exec_module)
      206    0.004    0.000    0.129    0.001 <frozen importlib._bootstrap_external>:916(get_code)
       28    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      114    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       11    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 ElementPath.py:333(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1111(_ListDataStream)
        6    0.000    0.000    0.000    0.000 ElementTree.py:1228(iterparse)
138261/138259    0.033    0.000    0.891    0.000 ElementTree.py:1247(iterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        6    0.000    0.000    0.000    0.000 ElementTree.py:1268(IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1278(XMLPullParser)
        6    0.000    0.000    0.000    0.000 ElementTree.py:1280(__init__)
      160    0.000    0.000    0.736    0.005 ElementTree.py:1292(feed)
        4    0.000    0.000    0.000    0.000 ElementTree.py:1302(_close_and_return_root)
   138419    0.074    0.000    0.103    0.000 ElementTree.py:1316(read_events)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1390(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1512(XMLParser)
        6    0.000    0.000    0.001    0.000 ElementTree.py:1522(__init__)
        6    0.000    0.000    0.000    0.000 ElementTree.py:1568(_setevents)
   139943    0.070    0.000    0.198    0.000 ElementTree.py:1586(handler)
   435222    0.076    0.000    0.076    0.000 ElementTree.py:1628(_fixname)
   139949    0.211    0.000    0.318    0.000 ElementTree.py:1645(_start)
   139943    0.077    0.000    0.117    0.000 ElementTree.py:1657(_end)
       16    0.000    0.000    0.000    0.000 ElementTree.py:1660(_default)
      160    0.000    0.000    0.736    0.005 ElementTree.py:1714(feed)
        4    0.000    0.000    0.000    0.000 ElementTree.py:1721(close)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1775(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.001    0.001 ElementTree.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        6    0.000    0.000    0.001    0.000 ElementTree.py:80(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:153(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:164(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:173(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:192(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:200(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:205(Quantize)
        1    0.000    0.000    0.064    0.064 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2721(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2730(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3425(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3461(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:441(_E)
        1    0.000    0.000    0.000    0.000 Image.py:484(Image)
        1    0.000    0.000    0.000    0.000 Image.py:82(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:86(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:386(_populate)
        1    0.000    0.000    0.000    0.000 _3d.py:15(View3D)
        1    0.000    0.000    0.020    0.020 _3d.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _3d.py:51(Surface)
        1    0.000    0.000    0.000    0.000 _3d.py:74(_3DBase)
       10    0.000    0.000    0.010    0.001 __init__.py:1(<module>)
      8/7    0.000    0.000    0.501    0.072 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DummyCode)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:16(MetaSerialisable)
      424    0.006    0.000    0.020    0.000 __init__.py:18(__new__)
       12    0.000    0.000    0.000    0.000 __init__.py:19(deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(lxml_env_set)
        1    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
       12    0.000    0.000    0.000    0.000 __init__.py:23(decorator)
        1    0.000    0.000    0.011    0.011 __init__.py:29(defusedxml_available)
        9    0.000    0.000    0.153    0.017 __init__.py:3(<module>)
       15    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
       60    0.000    0.000    0.000    0.000 __init__.py:346(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:38(defusedxml_env_set)
        1    0.000    0.000    0.000    0.000 __init__.py:38(inspect_format)
        8    0.000    0.000    1.025    0.128 __init__.py:4(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        6    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       45    0.000    0.000    0.000    0.000 __init__.py:468(_parse_letter_version)
       15    0.000    0.000    0.000    0.000 __init__.py:507(_parse_local_version)
       15    0.000    0.000    0.000    0.000 __init__.py:519(_cmpkey)
       15    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
